index	prompt	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
0	basic	48	11	-30.73094367980957	48	22	-146.233642578125	1
1	basic	52	11	-31.848703384399414	52	26	-169.29574584960938	0
2	basic	52	11	-29.13664436340332	52	25	-177.57162475585938	1
3	basic	65	15	-40.32637023925781	65	31	-212.54148864746094	1
4	basic	37	10	-26.78089141845703	37	18	-130.51776123046875	1
5	basic	46	11	-34.90399932861328	46	21	-154.7038116455078	1
6	basic	62	15	-42.229698181152344	62	29	-202.67198181152344	1
7	basic	35	12	-26.098857879638672	35	19	-126.10889434814453	1
8	basic	46	10	-37.60206985473633	46	22	-169.74757385253906	0
9	basic	63	12	-34.939510345458984	63	27	-205.92050170898438	1
10	basic	93	19	-55.88397979736328	93	42	-287.9958801269531	0
11	basic	60	12	-41.86402893066406	60	30	-209.5302276611328	0
12	basic	53	13	-34.78181838989258	53	24	-179.45587158203125	1
13	basic	49	12	-39.390106201171875	49	23	-168.74737548828125	0
14	basic	64	11	-32.32732391357422	64	35	-216.2633056640625	0
15	basic	44	10	-34.95002365112305	44	21	-158.47218322753906	1
16	basic	90	18	-56.941795349121094	90	37	-279.4214172363281	0
17	basic	69	16	-45.86366271972656	69	34	-238.7756805419922	0
18	basic	70	15	-43.51896667480469	70	31	-234.53892517089844	0
19	basic	83	16	-37.94947052001953	83	35	-258.00933837890625	0
20	basic	65	13	-38.53646469116211	65	30	-211.1429443359375	0
21	basic	70	11	-32.3260498046875	70	33	-233.98902893066406	0
22	basic	65	12	-37.976749420166016	65	37	-223.1605682373047	0
23	basic	74	17	-48.09409713745117	74	34	-236.09425354003906	0
24	basic	69	13	-45.89350128173828	69	33	-227.96142578125	1
25	basic	66	12	-32.61466598510742	66	34	-213.1987762451172	0
26	basic	133	27	-78.81450653076172	133	66	-437.08465576171875	0
27	basic	50	9	-41.158233642578125	50	25	-172.6031951904297	0
28	basic	124	21	-60.58438491821289	124	55	-389.1358337402344	0
29	basic	205	36	-117.63484954833984	205	95	-629.6688232421875	0
30	basic	104	19	-59.33689498901367	104	48	-348.5264587402344	0
31	basic	124	21	-55.23046112060547	124	56	-390.7580261230469	0
32	basic	91	21	-54.42898178100586	91	40	-269.0203857421875	1
33	basic	82	17	-57.852333068847656	82	38	-249.62710571289062	0
34	basic	140	27	-84.49396514892578	140	66	-404.5914001464844	0
35	basic	70	16	-58.2799072265625	70	36	-232.4746551513672	0
36	basic	83	18	-48.44683837890625	83	40	-279.7212829589844	0
37	basic	148	27	-87.42809295654297	148	71	-484.2657165527344	0
38	basic	91	20	-53.040565490722656	91	45	-289.92132568359375	0
39	basic	56	14	-39.83208084106445	56	25	-183.6065216064453	1
40	basic	146	31	-83.79905700683594	146	69	-431.663818359375	0
41	basic	162	28	-93.36016845703125	162	74	-487.6514587402344	0
42	basic	72	17	-50.31577682495117	72	34	-211.6566925048828	1
43	basic	137	26	-72.61962890625	137	63	-430.6340637207031	0
44	basic	29	8	-49.033203125	29	17	-115.2876205444336	0
45	basic	97	24	-51.3943977355957	97	47	-287.48602294921875	1
46	basic	93	18	-55.22938537597656	93	48	-305.53863525390625	0
47	basic	82	17	-47.02035140991211	82	36	-268.6989440917969	0
48	basic	114	17	-65.0765151977539	114	53	-347.6397399902344	0
49	basic	63	13	-55.019805908203125	63	32	-190.32568359375	0
